Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,10000,16000,23000,29000,33000,35000,34000,32000,30000,28000,27000,26000,25000,25000,25000,25000,24000,22000,21000,19000,18000,18000,18000,17000,15000,14000,12000,10000,8900,8100,7400,
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.1,1.7,2.5,3.4,4.3,5,5.4,5.6,5.7,5.6,5.4,5.2,5,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.8,4.7,4.6,4.4,4.2,4.1,3.9,
"People using safely managed drinking water services, urban (% of urban population)",SH.H2O.SMDW.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.88439554,42.67663935,44.47457346,46.27819786,48.08751256,49.90251757,51.72321287,53.54959847,55.38167436,57.21944056,59.06289706,60.91204385,62.56554378,63.77936919,64.99679369,66.21781729,67.44243999,68.67066177,69.90248266,71.13790263,72.3769217,72.4926905,72.60845929
"People using at least basic drinking water services, rural (% of rural population)",SH.H2O.BASW.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.92060815,62.0984004,62.27560295,62.4522158,62.62823894,62.80367238,62.97851612,63.15277016,63.3264345,63.49950913,63.67199406,63.8438893,64.01519482,64.18591065,64.35603677,64.5255732,64.69451992,64.86287694,65.03064425,65.19782187,65.36440978,65.60937753,65.85434528
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7,40.1,41.4,42.4,43.2,43.4,46,47.4,49.1,50,50.4,50.6,51.9,53.4,54.3,54,52.7,51,50.4,49.4,,,
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,185.9,185.3,185.7,186.8,187.9,188.6,188.6,187.5,185.2,182.2,178.7,174.8,170.7,166.4,161.7,156.2,150,143.5,136.9,130.3,123.7,117.5,111.6,106.2,101.5,97.4,93.8,90.7,88.1,86,84.5,83.8,84.1,85.7,88.6,92.2,95.9,99.2,102.3,105,107.5,109.6,111.6,113.4,115,116.5,116.8,113.7,111.3,101.6,93,89.4,86.9,85.1,84,82.5,77.8,75.5,76.4,77.2,75.5,72.9,
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,13.1,13.2,13.3,13.5,13.6,13.8,13.9,14,14.1,14.1,14.1,13.9,13.8,13.6,13.3,13.1,12.8,12.6,12.4,12.2,12,11.9,11.7,11.6,11.4,11.2,11,10.7,10.4,10.1,9.8,
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6395141,,,,,,,,,,38.41089484,,,,,44.36180207,,,,45.08028614,,,
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.61532266,,,,,,,,,,50.83246051,,,,,42.67473189,,,,42.18825423,,,
Number of deaths ages 5-9 years,SH.DTH.0509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,458,455,453,448,442,434,425,411,397,383,370,358,347,336,325,314,307,299,294,289,283,277,272,266,261,258,254,251,247,242,238,
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,48.7,48.8,49,49.2,49.5,49.9,49.8,49.9,49.2,48.7,48.7,49,49.3,49.7,50.3,50.3,50.5,50.7,51.4,,,
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20651,,,,,1.17387,,,,,1.07928,,,,,1.01907,,,,1.42538,,,
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),SG.VAW.GOES.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,14.2,,,,,10.7,,,,,,,,
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18056,,,,,,,,,,,,,,,,,,,
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,60.9,,,,,,,,
Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,,,,,,,,,,,,13.38306,17.20517,22.2002,20.16288,,,,,,,,,20.39546,18.4907,18.837,,,17.96384,16.71818,,,,15.64946,18.89307,13.73373,,23.38802,,21.86322,16.71094,18.63831,,,,36.44391,36.81825,,36.38363,,,,,,,,,,7.40778,,,,
Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,,,,,,,,,,,,,49.43457,,41.22438,,,,,,,,,41.4814,38.05741,37.08849,,,44.58263,45.46729,,,,54.18747,49.93927,51.91154,,37.14727,,49.64197,48.63788,53.22691,,,,43.03617,40.12473,,35.99421,,,,,,,,,,55.95786,,,,
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8720932,,98.15086365,,,,,,,96.20028687,,,,,,,,,,96.40006256,,,,
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,,,,,,,,0.294440001,0.266429991,,0.406839997,0.456209987,0.392390013,,0.731450021,0.838949978,0.897050023,,0.923240006,0.973559976,0.959789991,0.897719979,1.188159943,1.254690051,1.569020033,1.745779991,1.692579985,1.341449976,1.392009974,2.212569952,2.390500069,2.510420084,2.460639954,2.471359968,,,2.364300013,2.497879982,2.82310009,2.571019888,3.288609982,,3.922610044,4.053030014,,,,,,13.05667019,12.35134029,12.20893002,11.57096958,,12.45211983,11.7330904,,,,
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,,,,,,,,,,,,,,,,,0.216480002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.643519998,,1.91068995,,,,,,,,,,,,,,
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.937639952,,,,
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,,,,,,,,,,,,,,47.82950974,,,,53.99737167,43.9464798,42.93534088,45.06805038,41.2795105,39.05828094,35.88391876,40.01279068,36.26190186,40.4372406,,,,,38.03892899,36.67890167,37.10113144,33.97613907,,31.18954086,,32.05537033,30.27062988,30.68063927,26.03307915,24.83407974,21.6824894,20.19799042,16.28351021,16.95458031,20.14966965,18.36268044,18.66525078,17.58975029,18.64874077,19.1638298,18.76095009,19.1259594,20.13002968,23.03270912,20.10938835,,,,,
"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,,329,414,512,,,698,763,856,922,1116,1299,1427,1567,1750,1807,1897,1961,2074,2193,2351,,2634,,2580,2655,,2878,3158,,3310,3368,3455,3546,3636,3577,3495,3725,4006,4517,4962,5139,5282,5449,5405,5575,5571,5559,5386,,,,,
"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,,,,,,,,,,,,,39.43516,,,,,,,,,,,,,60.6377,65.82903,,,,,,,,,,,65.46067,65.3677,63.74665,67.19871,76.05728,77.3705,72.87447,70.59017,83.35778,75.58115,81.70544,86.6452,87.76142,86.94312,85.89064,85.87698,86.06502,88.10427,88.47667,,,,,,,
"School enrollment, secondary (% net)",SE.SEC.NENR,,,,,,,,,,,,4.50091,,6.61697,,,,9.66879,9.54373,11.40432,11.89129,12.29596,12.82625,11.39326,11.53595,11.86896,12.18406,,,,,13.60304,15.27388,15.98705,14.91292,,16.46014,,12.3668,16.21034,17.97381,20.04806,20.91766,21.89832,23.20564,25.0859,25.8478,27.23189,29.59115,32.39088,36.12128,38.96832,40.16248,40.63024,40.64296,41.85947,41.35206,,,,,,
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,,,,,,,,,,,61.03501,65.26527,72.55075,57.09651,,70.40462,66.88494,62.15506,64.4382,66.41182,67.99174,69.47867,66.94306,67.03352,64.14894,63.69792,62.52927,62.06278,63.20922,59.96276,57.50262,55.45784,74.96444,77.38095,86.22449,,64.45428,73.38129,49.22919,57.39645,55.03407,49.96288,44.85816,60.30796,49.88386,51.57143,52.6178,,,,79.0938,,69.6159,62.68256,59.58527,55.22924,,66.58502,,,,,
"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secondary education, pupils",SE.SEC.ENRL,,,,,,,,,,,15317,8815,10006,13792,,16476,17795,18955,19512,23368,25292,28107,29608,33421,35444,37343,39478,43368,45951,47212,48209,48505,52598,55984,62399,67173,68132,72170,72235,73620,74313,79266,82256,84273,89864,94496,96073,101738,107322,115805,125823,130831,134543,130476,130836,133434,128780,136497,,,,,
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.19079018,,,,,,,,,,20.88452911,,,,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,4.738239765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5813694,,20.87196922,,,,,,,,,,29.99846077,,,,
"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,,,,,,,,,,,,,6.309430122,11.99442959,,,,,,,,,,,,,15.75800991,15.68420982,,,,,,,,,,,20.46388054,23.07971954,21.77371025,23.66245079,23.53454971,23.63352966,25.56052017,26.59811974,27.25906944,26.62330055,28.42170906,32.65531158,36.13695145,39.02628326,37.597229,37.22777176,39.99650955,,37.99713135,38.39730835,,,,,
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,,,,,,,,,,,53.70938873,,56.00944138,54.64744949,47.34946823,,45.68064117,44.47964096,49.73574829,48.96606064,48.25838852,47.49489975,43.66226959,44.32065964,44.02941895,42.35475159,42.41915131,40.50524139,39.15917969,39.32875824,39.82115936,38.42522049,37.81486893,39.60766983,38.35520172,39.07048035,39.13204956,,44.90081024,47.11135864,25.89831924,24.27352905,21.83614922,19.96228981,20.45931053,19.49427986,17.58842087,19.2783699,18.12487984,18.49122047,16.68514061,15.33625984,14.55282021,13.73851967,14.37113953,14.3030901,13.52822971,11.42440987,,,,,
"Children out of school, primary",SE.PRM.UNER,,,,,,,,,,,79924,90155,90544,90631,74401,,73379,70878,88892,88932,92167,95710,89676,96878,100908,100971,105707,100259,99498,103900,109454,106926,108307,118638,118350,125877,127169,,153177,162373,84683,77104,68131,60898,63248,59429,52771,59407,54676,55066,50952,47776,45015,41944,44983,45877,43461,37641,,,,,
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,,,,,,,,,,,59.86376953,,63.69411087,64.51531219,65.93379974,69.54566956,70.42286682,71.97955322,73.12825012,74.40402222,74.90680695,74.97196198,75.58074188,76.4021225,76.36331177,76.69080353,76.70188904,77.46598816,78.61514282,79.68126678,79.9317627,80.17951202,79.30789948,79.7723465,79.26812744,79.13668823,79.12129974,78.92198944,,80.18237305,80.18186188,80.07303619,79.75977325,79.13707733,78.11467743,78.19577789,78.23959351,77.07366943,77.0728302,76.83773041,76.87696075,76.5951767,76.5982132,75.60048676,75.66938019,75.56266785,75.02572632,74.80970764,,,,,
"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.53070831,77.27536774,78.32097626,76.12949371,71.32563019,69.51062775,68.75315094,71.13237762,73.69687653,,62.11642838,67.66134644,70.67125702,71.045578,75.27158356,78.62722015,81.7048111,87.49064636,,,,,,
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,,,,,,,,,,,21.97447014,31.52412987,41.38156891,58.77518845,39.6607399,34.11537933,31.22793961,34.33570862,37.31517029,40.27320862,48.65322876,50.67787933,45.79050064,44.69879913,51.65800858,46.2965889,52.87955093,53.23062134,45.68312836,50.90916824,56.80202866,51.57469177,46.72692108,67.96140289,63.83211899,49.95378876,54.98386002,60.72777939,54.15106964,59.6673584,55.02997971,58.99467087,67.22673035,57.09712982,61.27075958,63.11825943,46.39313126,65.23905182,59.37184906,69.29807281,63.85453033,63.9021492,56.75437164,67.35948181,64.85597229,69.28238678,,,,,,,
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,,,,,,,,,,,,,51.63607025,59.01586914,45.58000183,40.11502075,35.93857956,37.39015961,40.66107178,42.67887115,49.85372925,56.01356888,48.90594864,48.86629868,55.45338058,49.43502045,54.38008881,55.57931137,50.0393486,55.38314056,58.27085876,58.83449936,54.38883972,71.60907745,67.93923187,55.32345963,62.09191132,65.11151123,61.30398941,68.19387817,60.47650909,66.23323059,69.45789337,58.16606903,66.18049622,68.9265213,55.64538956,72.85952759,64.54679108,76.26217651,69.26717377,69.61263275,63.09899902,74.27114105,72.81210327,78.56326294,,,,,,,
"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,,,,,,,,,,,37.32596,,33.52733,34.77859,33.72134,,26.38519,25.09217,35.0957,34.52885,34.81937,35.78748,34.68897,36.11676,35.4896,35.27731,34.5414,33.97719,34.01567,33.9442,34.05361,33.48875,33.08188,33.11638,35.07877,37.50021,36.50361,,42.31292,44.0745,31.92937,32.77043,32.90196,34.1557,35.56821,35.4128,34.75572,32.8522,31.83366,30.67457,30.00778,28.58505,27.39763,27.20659,26.14064,24.94695,24.1025,23.44482,,,,,
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85985,25.7644,56.04909,51.50866,50.57889,54.14307,56.72486,55.63079,56.58176,56.76139,58.06687,58.54088,65.28596,65.61771,65.88087,62.53289,65.35174,69.25869,69.39122,,,,,,
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,,,,,,,,,,,,98.32241,101.97513,110.70382,159.67719,128.42783,122.65312,122.73084,114.09478,117.81255,115.60255,116.08768,122.72137,116.59338,111.00121,118.57653,104.77935,110.85066,114.22352,105.11432,99.17899,102.89304,101.84095,94.52634,106.02134,107.94487,101.17443,96.10903,96.31303,95.06506,184.56351,133.47515,117.66659,119.07053,127.06815,116.57799,118.56024,112.7337,110.13868,116.36008,114.01701,114.21214,117.64156,112.60702,116.06693,120.18129,118.67385,119.70454,,,,,
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,,,,,,,,,106.7832489,,102.2242432,106.0665588,120.9350586,119.5557709,117.2018738,117.882103,115.9965134,115.4682312,115.2728119,116.3590927,118.4626465,117.4524765,114.5538406,115.6638565,113.7588425,117.0486603,118.431778,116.1720886,114.1798401,115.1607285,112.2846985,106.8336716,107.6608429,108.5338898,106.0420303,102.8240509,103.154808,102.3227768,114.0343704,116.0783081,118.7219696,123.4758911,123.4274063,123.7198334,126.1989212,119.723381,118.9409485,117.2985001,115.8035583,114.6424789,113.8649521,110.271698,108.1334229,105.9000702,105.1765976,106.8926163,,,,,
"Primary education, pupils",SE.PRM.ENRL,,,,,,,,,,,175420,171454,176404,187459,218038,221922,222004,226019,228523,235604,244838,259046,277945,289590,297484,314003,319128,331857,345524,348818,351632,361144,362657,354275,366935,378011,374628,368895,369535,364951,410745,415007,418668,429720,427009,422278,424855,400943,396041,389424,388681,385437,381690,369469,366048,361637,360756,367931,,,,,
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,,,,,,,,,,,,,,,,,13.87567043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.12390137,,,,,,,,,,65.56098938,,,,
Primary school starting age (years),SE.PRM.AGES,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.60397911,19.62112045,18.7345295,26.43851089,27.70179939,28.26066971,,29.72546005,,,,,36.03239059,41.30447006,42.30324936,39.29106903,34.62913895,38.91635132,38.12049866,,34.51488876,32.64315414,,,
"Preprimary education, duration (years)",SE.PRE.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,,,,,,,,,1.480849981,,1.477980018,1.46401,1.463989973,1.433089972,1.424950004,1.441429973,1.456240058,1.438820004,1.41147995,1.372159958,1.328410029,1.302090049,1.271919966,1.256780028,1.242660046,1.237149954,1.224380016,1.210880041,1.209560037,1.205129981,1.177060008,1.156690001,1.132779956,1.109220028,1.111559987,1.093909979,1.086069942,1.077980042,1.033390045,1.011389971,1.004420042,1.002699971,0.990589976,0.987779975,0.985329986,0.977199972,0.974129975,0.978839993,0.957780004,0.950649977,0.955359995,0.961409986,0.957130015,0.950119972,0.950150013,0.949289978,0.950330019,0.951355755,,,
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04644775,,,,,,,,,84.96395874,,,,,84.93489075,,,,,,,,89.76000214
"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49609375,,,,,,,,,92.09388733,,,,,93.96987915,,,,,,,,95.58999634
Regulatory Quality: Percentile Rank,RQ.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.47826004,,38.04347992,,45.10869598,,37.29729843,32.97297287,28.85572052,26.96078491,25.49019623,23.30097008,27.6699028,27.75119591,28.7081337,28.90995216,31.7535553,38.3886261,35.09615326,35.23809433,34.76190567,36.66666794,30.47619057,30.47619057,29.04761887,24.76190567,29.24528313
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",RL.PER.RNK.UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.34170532,,69.5,,64.17910767,,64.67662048,64.67662048,58.65384674,56.45933151,53.58851624,52.63158035,54.32692337,54.9763031,53.08057022,53.99061203,54.46009445,55.3990593,60.57692337,58.57143021,56.66666794,52.38095093,50.47618866,49.04761887,44.76190567,46.66666794,43.86792374
Regulatory Quality: Estimate,RQ.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.289027005,,-0.29883337,,-0.160908803,,-0.464417785,-0.567470014,-0.593988776,-0.633165061,-0.667670608,-0.716383755,-0.670076966,-0.649876177,-0.630146682,-0.638167918,-0.540954292,-0.37577191,-0.444160998,-0.462051779,-0.459403545,-0.382606447,-0.555366874,-0.607284188,-0.669014096,-0.757836819,-0.615311503
Rule of Law: Percentile Rank,RL.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.77889633,,56.5,,53.2338295,,56.71641922,54.72636795,49.03845978,46.41148376,47.36841965,46.88995361,48.07692337,47.86729813,45.97156525,47.41783905,47.41783905,49.29577637,48.55769348,49.04761887,47.61904907,43.33333206,40,38.09523773,34.76190567,36.19047546,33.96226501
Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474807203,,0.435220897,,0.453906059,,0.436297506,0.349641562,0.364736646,0.384340942,0.309503466,0.302739561,0.303831339,0.283778816,0.273786128,0.300698131,0.24639824,0.252466679,0.212399378,0.219297945,0.223960906,0.23324132,0.230162203,0.250075668,0.247393817,0.24892123,0.248592064
Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,2,2,2,2,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,4,4
Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483452502,,,,,
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.726678511,,,,,
Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.752709447,,,,,,,75.44065,,,,,
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31992084,,,,,
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75450622,,,,,
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95345463,,,,,
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.714286,0.714286,0.714286,0.714286,0.714286,0.714286,0.714286,0.714286,0.714286,0.714286,0.714286,0.715216916,0.768725237,0.693959098,0.679477004,0.739507755,0.869565218,0.869565218,0.869565218,0.842022602,0.778833737,0.877578943,1.085815833,1.1141,1.4752775,2.228674999,2.285031666,2.036033333,2.2734675,2.6226775,2.587320833,2.761315,2.852014167,3.267741583,3.550798333,3.627085,4.299349167,4.607961667,5.528284167,6.109484167,6.939828333,8.609180833,10.54074667,7.564749167,6.4596925,6.359328333,6.771549167,7.045365,8.261223333,8.473674158,7.321221961,7.261132132,8.209968627,9.655056069,10.85265557,12.75893088,14.70961089,13.32380142,13.23392647,14.44842705,16.45910539,14.77867821,16.35585348
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN,,,,,,,,,,,,,,,,15813800,6699000,27413700,46919100,67898900,85700000,74600000,239270400,282569200,288180700,301116300,348901500,426691500,195461600,218593000,307662900,341232700,456019800,563047400,646030000,799780000,799780000,930170000,837130000,893900000,936110000,2295000000,2478000000,2476000000,2889000000,3180336900,4549715800,4946563300,5803861500,6111475300,4963258900,4976028900,7302596200,8119379300,8815567200,8689778700,7176404100,8071936500,8174255400,8174255400,8174255400,,
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,1819999.273,1819999.273,2939998.825,3079998.769,3919998.434,2519998.993,2519998.993,3079998.769,3079998.769,5179997.93,6579997.371,6151979.769,6764445.537,15706977.59,20604082.15,17849711.39,16444999.99,27139999.98,53244999.95,34203357.41,38133941.27,39882621.08,12472833.41,25725697.88,21939194.49,17287581.19,29169573.87,42089438.61,46074729.46,52069459.55,62992187.86,63206986.53,67715091.41,62680384.84,58340767.5,71440068.26,49237754.78,69130240.88,58579152.27,51670958.04,50484634.95,44902301.05,44982951.87,92008245.7,160940460.7,196514102.5,220018722.9,121175354.3,112018772.8,127189042.2,219679485.8,267342966.2,283316658.5,261040728.8,263882142.2,258355988.5,235635995.2,275645837.3,311389647.6,296183133.6,242327022.4,289758261.1,560667311.1
Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,10.61274864,12.61682243,25.2230815,38.61087144,32.66475645,49.55986314,38.02936531,,,,,,,,,,,,,,,,,,,,,,,,,,47.02502623,47.64438695,34.24624111,24.10802997,17.13055594,21.33538984,25.98348677,28.54019014,27.20113777,19.43034072,10.33563973,17.3851602,17.98466223,23.34573425,,
"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980.869148,3062.253677,2888.062565,2963.310944,2887.770335,2945.453336,2931.933532,2878.349892,2959.839091,3064.062291,2920.962145,2821.925719,2824.238412,2741.093409,,
GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254.580409,1288.833317,1215.520218,1247.190559,1215.397225,1239.674695,1233.984515,1211.432373,1245.729334,1289.594522,1229.366907,1187.684715,1188.658075,1153.664224,,
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219299255,2343827459,2439043855,2476749577,2637776287,2704274159,2912725622,3039381231,3025677086,3143928824,3249977095,3907148434,4000763139,4210776483,4219654064,4260506300,4395818050,5260949034,5496619137,5313416879,5522874016,5495695487,5431655706,5971898850,6384113068,7086503863,7046118126,6340290089,6309088197,6483806450,6447310854,6915067532,7296364662
